COUNTRY,COUNTRY_CODE,INDICATOR_NAME,INDICATOR_CODE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bermuda,BMU,Population (Total),SP.POP.TOTL,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64806, - , - , - , - , - , - , - 
Bolivia,BOL,Population (Total),SP.POP.TOTL,3353125,3428270,3505427,3584782,3666584,3751047,3838156,3927961,4020815,4117153,4217248,4321324,4429194,4540197,4653409,4768177,4884284,5001971,5121608,5243771,5368901,5497112,5628347,5762673,5900127,6040757,6184440,6331219,6481463,6635658,6794046,6956736,7123294,7292745,7463773,7635362,7806953,7978521,8150214,8322408,8495271,8669066,8843350,9016787,9187610,9354709,9517395,9676456,9834098,9993406,10156601,10324445,10496285, - , - , - , - , - , - , - 
Brazil,BRA,Population (Total),SP.POP.TOTL,72775883,74988037,77286629,79643017,82017016,84379369,86721875,89052356,91377490,93709914,96060361,98427874,100812672,103228641,105693434,108219657,110808302,113455308,116160978,118924135,121740438,124610790,127525420,130455659,133364277,136223043,139023394,141767626,144452622,147078659,149648341,152153539,154597985,157011131,159432909,161890816,164392423,166925457,169472347,172006362,174504898,176968205,179393768,181752951,184010283,186142403,188134315,189996976,191765567,193490922,195210154,196935134,198656019, - , - , - , - , - , - , - 
Barbados,BRB,Population (Total),SP.POP.TOTL,230858,231599,232514,233520,234478,235294,235936,236466,236997,237680,238616,239864,241367,242971,244453,245663,246536,247136,247592,248095,248784,249696,250780,251979,253193,254354,255450,256500,257497,258443,259336,260175,260963,261714,262441,263165,263884,264606,265370,266220,267190,268296,269524,270844,272205,273568,274923,276277,277634,279006,280396,281804,283221, - , - , - , - , - , - , - 
Brunei Darussalam,BRN,Population (Total),SP.POP.TOTL,81817,85679,89595,93641,97924,102516,107440,112670,118166,123865,129719,135707,141827,148058,154387,160791,167275,173818,180350,186778,193049,199128,205053,210925,216885,223041,229413,235982,242758,249743,256929,264332,271935,279652,287370,295003,302511,309904,317214,324501,331801,339114,346407,353649,360797,367815,374697,381440,388017,394400,400569,406512,412238, - , - , - , - , - , - , - 
Bhutan,BTN,Population (Total),SP.POP.TOTL,224155,229348,234758,240424,246388,252698,259344,266373,273954,282302,291555,301758,312823,324583,336802,349280,362006,374953,387893,400551,412745,424082,434592,445008,456362,469244,484390,501192,517306,529519,535738,534905,528304,519056,511588,509105,512594,521146,533737,548599,564350,580888,598455,616383,633893,650417,665568,679365,692159,704542,716939,729429,741822, - , - , - , - , - , - , - 
Botswana,BWA,Population (Total),SP.POP.TOTL,524173,536728,550152,564484,579729,595904,613097,631398,650835,671416,693176,716052,740118,765685,793164,822806,854746,888776,924373,960807,997534,1034324,1071254,1108461,1146205,1184657,1223738,1263269,1303192,1343440,1383912,1424513,1465072,1505303,1544865,1583453,1620989,1657349,1692148,1724924,1755375,1783349,1808976,1832602,1854739,1875805,1895944,1915187,1933719,1951715,1969341,1986701,2003910, - , - , - , - , - , - , - 
Croatia,HRV,Population (Total),SP.POP.TOTL,4140000,4171672,4202104,4231408,4259680,4287000,4313000,4339000,4364000,4387000,4411000,4435000,4457000,4478000,4497000,4514000,4530000,4532000,4556000,4571000,4588000,4608000,4635000,4659000,4680000,4701000,4722000,4740000,4757000,4767000,4780000,4510000,4470000,4640000,4650000,4669000,4494000,4572000,4501000,4554000,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434000,4429000,4417800,4280600,4267600, - , - , - , - , - , - , - 
Haiti,HTI,Population (Total),SP.POP.TOTL,3869288,3946666,4026076,4107392,4190472,4275135,4361648,4449858,4538688,4626727,4713134,4797534,4880740,4964593,5051633,5143815,5241510,5344538,5453582,5569289,5691941,5821974,5958870,6100718,6244898,6389424,6533556,6677487,6821300,6965413,7110116,7255042,7399862,7544982,7691001,7838241,7986858,8136372,8285690,8433339,8578234,8720247,8859635,8996229,9129933,9260879,9388642,9513714,9638255,9765153,9896400,10032864,10173775, - , - , - , - , - , - , - 
Hungary,HUN,Population (Total),SP.POP.TOTL,9983967,10029321,10061734,10087947,10119835,10147935,10178653,10216604,10255815,10298723,10337910,10367537,10398489,10432055,10478720,10540525,10598677,10648031,10684822,10704152,10711122,10711848,10705535,10689463,10668095,10648713,10630564,10612741,10596487,10481719,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362, - , - , - , - , - , - , - 
